Name	Team	W	L	SV	G	GS	IP	K/9	BB/9	HR/9	BABIP	LOB%	GB%	HR/FB	vFA (pi)	ERA	xERA	FIP	xFIP	WAR	NameASCII	PlayerId	MLBAMID
Cam Schlittler	NYY	2	0	0	3	3	16.2	11.880000453186053	0	0	0.2222222222222222	0.625	0.514285714	0	97.63768193	1.620000061798098	1.4480077096262791	0.47914214553832624	1.175031875715814	0.9818517565727234	Cam Schlittler	32095	693645
Sandy Alcantara	MIA	2	0	0	3	3	24.1	6.657534594472315	1.479452132104959	0	0.15873015873015872	0.8	0.491803278	0	97.04346454326924	0.7397260660524795	1.3557608889840023	2.2561285025184454	3.580119636452813	0.9187268018722534	Sandy Alcantara	18684	645261
Max Fried	NYY	2	0	0	4	4	28	6.428571428571429	1.6071428571428572	0	0.20512820512820512	0.73913043	0.441558441	0	94.84171977796052	1.9285714285714286	2.4896025147686585	2.4405708176749092	3.7292554540293557	0.8675810098648071	Max Fried	13743	608331
Cristopher Sánchez	PHI	1	1	0	3	3	16.1	12.673470374396995	2.2040818042429557	0	0.42857142857142855	0.77272727	0.547619047	0		1.653061353182217	3.1392702507382677	1.037509431127991	1.9842982172600863	0.7851825952529907	Cristopher Sanchez	20778	650911
Kevin Gausman	TOR	0	1	0	3	3	17.1	13.50000099035417	1.0384616146426284	0.5192308073213142	0.22857142857142856	0.72916667	0.514285714	0.09090909	94.39713541666667	2.076923229285257	1.7561306882917502	1.2152959527348526	1.2831150538580463	0.7830668687820435	Kevin Gausman	14107	592332
Taj Bradley	MIN	2	0	0	3	3	16.2	11.880000453186053	2.160000082397464	0	0.3333333333333333	0.9	0.333333333	0	97.71612723214285	1.080000041198732	3.1332570769270203	1.5591421867370585	3.0282427282228657	0.734303355	Taj Bradley	22543	671737
Braxton Ashcraft	PIT	1	1	0	3	3	17	10.588235294117647	2.6470588235294117	0	0.2926829268292683	0.76470588	0.512195121	0	96.77346840387658	2.1176470588235294	2.3967042326090358	1.6485540109522203	2.7098237114794115	0.7295858263969421	Braxton Ashcraft	23793	677952
Ryan Weathers	NYY	0	1	0	3	3	16	10.125000603497064	2.8125001676380736	0	0.37777777777777777	0.77272727	0.363636363	0	96.66882183908046	2.8125001676380736	5.047544163460258	1.8066421680152371	2.7731557028897678	0.6714169383049011	Ryan Weathers	23796	677960
Bryan Woo	SEA	0	1	0	3	3	18	8.5	2	0	0.21739130434782608	0.66666667	0.260869565	0	95.74929036458333	1.5	1.9440901875936831	2.0635866906907827	4.139800827039613	0.6629155278205872	Bryan Woo	30279	693433
Jeffrey Springs	ATH	2	0	0	3	3	18.1	7.363636874364463	2.9454547497457853	0	0.1702127659574468	0.78571429	0.425531914	0	91.49293808109505	1.4727273748728926	2.1864653482742025	2.4645967463028304	3.8704346289230616	0.6594650745391846	Jeffrey Springs	17677	605488
Joe Ryan	MIN	2	1	0	4	4	21.1	9.281250553205643	2.531250150874266	0.421875025	0.25925925925925924	0.60185185	0.314814814	0.035714285	93.38668507543103	3.796875226311399	3.0510772660258487	2.7910172266885627	3.873040876397409	0.6096678972244263	Joe Ryan	21390	657746
Trevor Rogers	BAL	2	0	0	3	3	19	6.631578947368421	2.3684210526315788	0	0.26785714285714285	0.80952381	0.410714285	0	92.39524689885496	1.894736842105263	2.3600384402618326	2.592826456772654	4.152813121833299	0.6012871861457825	Trevor Rogers	22286	669432
Dylan Cease	TOR	0	0	0	3	3	14.2	15.954546146156405	5.522727512131063	0	0.3870967741935484	0.72727273	0.4	0	97.79433383736558	2.454545560947139	2.9191709570540163	1.6191421812230864	2.4099259696292323	0.5952401757240295	Dylan Cease	18525	656302
Emerson Hancock	SEA	2	1	0	3	3	17.2	9.679245631352753	1.528301942	0.5094339805975133	0.23684210526315788	0.79365079	0.461538461	0.066666666	94.82794074292453	2.0377359223900533	2.374972992600316	2.3832931631610412	2.741610320130585	0.5949166417121887	Emerson Hancock	27470	676106
Landen Roupp	SFG	2	1	0	3	3	16.2	9.720000370788588	2.700000103	0	0.30434782608695654	0.57894737	0.54347826	0	93.10614013671875	3.240000123596196	2.3490287516712516	1.8591421981811507	2.6323530094894703	0.5814893245697021	Landen Roupp	30076	694738
Sean Burke	CHW	0	1	0	3	2	15	9	1.8	0	0.3023255813953488	0.58823529	0.441860465	0	94.21399739583333	3.6	3.1864853246957043	1.9191422462463381	3.2937391916910808	0.5780161917209625	Sean Burke	29878	680732
Shota Imanaga	CHC	0	1	0	3	3	16	11.25	2.25	0.5625	0.22857142857142856	0.68965517	0.222222222	0.055555555	92.29220920138889	2.8125	2.684216503889593	2.181642246246338	2.8189124621450903	0.5633245706558228	Shota Imanaga	33829	684007
José Soriano	LAA	3	0	0	3	3	20	9.45	2.7	0.45	0.13953488372093023	1	0.65116279	0.09090909	98.28148626512096	0.45	2.854760371435669	2.5691422462463382	2.6279187962412838	0.5454010367393494	Jose Soriano	22100	667755
Seth Lugo	KCR	1	1	0	3	3	17.2	7.132075728365186	3.056603884	0	0.2653061224489796	0.78947368	0.4375	0	92.14585141782408	1.528301942	4.8256529005911935	2.553104490026879	3.5743263140780637	0.5449701547622681	Seth Lugo	12447	607625
Tarik Skubal	DET	1	2	0	3	3	17.2	8.150943689560213	1.0188679611950267	0.5094339805975133	0.3076923076923077	0.73863636	0.423076923	0.076923076	97.61559944509345	2.5471699029875667	4.359654304293531	2.3832931631610412	2.5957214881232726	0.5438333749771118	Tarik Skubal	22267	669373
Logan Gilbert	SEA	0	2	0	3	3	16.2	9.720000370788588	1.620000061798098	0.540000021	0.37777777777777777	0.56122449	0.326086956	0.047619047	95.50909714471726	5.400000206	2.312203408531332	2.2791422142028797	3.122884888195711	0.5332640409469604	Logan Gilbert	22250	669302
Michael Wacha	KCR	2	0	0	3	3	21	7.285714285714286	2.142857142857143	0.42857142857142855	0.18	1	0.367346938	0.047619047	93.18974497126437	0.42857142857142855	4.004282009515462	2.9762851033891953	3.6459221206960226	0.5322691798210144	Michael Wacha	14078	608379
Jesús Luzardo	PHI	1	2	0	3	3	17.1	13.50000099035417	2.076923229285257	1.0384616146426284	0.358974359	0.46511628	0.525	0.2	97.42792693661971	6.230769687855771	2.7942878982644825	2.3114498793020717	1.5549217293926008	0.5282575488090515	Jesus Luzardo	19959	666200
Mitch Keller	PIT	1	0	0	3	3	18	5.5	2.5	0	0.22641509433962265	0.88235294	0.37735849	0	93.31137424045139	1	2.730243453453786	2.7302533573574492	4.162125175529056	0.5241089463233948	Mitch Keller	17594	656605
Randy Vásquez	SDP	1	0	0	3	3	17.2	9.679245631352753	2.0377359223900533	0.5094339805975133	0.3181818181818182	0.96774194	0.488888888	0.0625	94.81019965277778	1.0188679611950267	4.185161988789217	2.553104490026879	2.984366063000079	0.5215499401092529	Randy Vasquez	24719	681190
Tyler Glasnow	LAD	1	0	0	3	3	18	11	2	1	0.2558139534883721	0.63380282	0.377777777	0.105263157	96.13975758272059	4	2.5739828199129997	2.7858089129130046	2.701642695731587	0.5130987167358398	Tyler Glasnow	14374	607192
Carmen Mlodzinski	PIT	0	0	0	3	3	14.1	9.418605486723921	3.7674421946895684	0	0.3953488372093023	0.82608696	0.488372093	0	95.09008454623287	2.5116281297930456	3.631368588262025	2.2819328696486565	3.2709234922625297	0.4911557137966156	Carmen Mlodzinski	27572	669387
Parker Messick	CLE	2	0	0	3	3	17.2	8.150943689560213	2.5471699029875667	0.5094339805975133	0.22727272727272727	1	0.477272727	0.066666666	93.47154822716347	0.5094339805975133	2.942838424309767	2.892727143758554	3.2510443007280982	0.4863770008087158	Parker Messick	31986	800048
